time;V(/out);
0,30028;5,91611;
0,30128;5,91612;
0,30228;5,91613;
0,30328;5,91613;
0,30428;5,91614;
0,30528;5,91614;
0,30628;5,91615;
0,30728;5,91615;
0,30828;5,91616;
0,30928;5,91616;
0,31028;5,91616;
0,31128;5,91616;
0,31228;5,91617;
0,31328;5,91617;
0,31428;5,91617;
0,31528;5,91617;
0,31628;5,91617;
0,31728;5,91617;
0,31828;5,91617;
0,31928;5,91617;
0,32028;5,91616;
0,32128;5,91616;
0,32228;5,91616;
0,32328;5,91615;
0,32428;5,91615;
0,32528;5,91614;
0,32628;5,91613;
0,32728;5,91613;
0,32828;5,91612;
0,32928;5,91611;
0,33028;5,9161;
0,33128;5,91609;
0,33228;5,91608;
0,33328;5,91606;
0,33428;5,91605;
0,33528;5,91603;
0,33628;5,91602;
0,33728;5,916;
0,33828;5,91598;
0,33928;5,91596;
0,34028;5,91594;
0,34128;5,91591;
0,34228;5,91589;
0,34328;5,91586;
0,34428;5,91583;
0,34528;5,9158;
0,34628;5,91577;
0,34728;5,91574;
0,34828;5,91571;
0,34928;5,91567;
0,35028;5,91563;
0,35128;5,91559;
0,35228;5,91555;
0,35328;5,9155;
0,35428;5,91545;
0,35528;5,9154;
0,35628;5,91535;
0,35728;5,9153;
0,35828;5,91524;
0,35928;5,91518;
0,36028;5,91511;
0,36128;5,91505;
0,36228;5,91498;
0,36328;5,91491;
0,36428;5,91483;
0,36528;5,91475;
0,36628;5,91467;
0,36728;5,91458;
0,36828;5,91449;
0,36928;5,91439;
0,37028;5,9143;
0,37128;5,91419;
0,37228;5,91408;
0,37328;5,91397;
0,37428;5,91385;
0,37528;5,91373;
0,37628;5,9136;
0,37728;5,91347;
0,37828;5,91333;
0,37928;5,91318;
0,38028;5,91303;
0,38128;5,91287;
0,38228;5,91271;
0,38328;5,91254;
0,38428;5,91236;
0,38528;5,91217;
0,38628;5,91198;
0,38728;5,91178;
0,38828;5,91157;
0,38928;5,91135;
0,39028;5,91112;
0,39128;5,91088;
0,39228;5,91064;
0,39328;5,91038;
0,39428;5,91011;
0,39528;5,90984;
0,39628;5,90955;
0,39728;5,90925;
0,39828;5,90893;
0,39928;5,90861;
0,40028;5,90827;
0,40128;5,90792;
0,40228;5,90756;
0,40328;5,90718;
0,40428;5,90678;
0,40528;5,90637;
0,40628;5,90594;
0,40728;5,9055;
0,40828;5,90504;
0,40928;5,90456;
0,41028;5,90407;
0,41128;5,90355;
0,41228;5,90301;
0,41328;5,90246;
0,41428;5,90188;
0,41528;5,90127;
0,41628;5,90065;
0,41728;5,9;
0,41828;5,89933;
0,41928;5,89863;
0,42028;5,8979;
0,42128;5,89715;
0,42228;5,89637;
0,42328;5,89556;
0,42428;5,89471;
0,42528;5,89384;
0,42628;5,89293;
0,42728;5,89199;
0,42828;5,89101;
0,42928;5,89;
0,43028;5,88894;
0,43128;5,88785;
0,43228;5,88672;
0,43328;5,88555;
0,43428;5,88433;
0,43528;5,88307;
0,43628;5,88176;
0,43728;5,8804;
0,43828;5,87899;
0,43928;5,87753;
0,44028;5,87602;
0,44128;5,87446;
0,44228;5,87283;
0,44328;5,87115;
0,44428;5,86941;
0,44528;5,8676;
0,44628;5,86573;
0,44728;5,86379;
0,44828;5,86179;
0,44928;5,85971;
0,45028;5,85756;
0,45128;5,85534;
0,45228;5,85303;
0,45328;5,85065;
0,45428;5,84818;
0,45528;5,84563;
0,45628;5,84299;
0,45728;5,84026;
0,45828;5,83744;
0,45928;5,83452;
0,46028;5,8315;
0,46128;5,82839;
0,46228;5,82516;
0,46328;5,82183;
0,46428;5,81839;
0,46528;5,81484;
0,46628;5,81117;
0,46728;5,80738;
0,46828;5,80347;
0,46928;5,79944;
0,47028;5,79527;
0,47128;5,79098;
0,47228;5,78655;
0,47328;5,78198;
0,47428;5,77727;
0,47528;5,77241;
0,47628;5,76741;
0,47728;5,76226;
0,47828;5,75695;
0,47928;5,75148;
0,48028;5,74585;
0,48128;5,74006;
0,48228;5,7341;
0,48328;5,72796;
0,48428;5,72166;
0,48528;5,71517;
0,48628;5,70851;
0,48728;5,70166;
0,48828;5,69462;
0,48928;5,68739;
0,49028;5,67997;
0,49128;5,67235;
0,49228;5,66453;
0,49328;5,65651;
0,49428;5,64828;
0,49528;5,63985;
0,49628;5,6312;
0,49728;5,62234;
0,49828;5,61327;
0,49928;5,60398;
0,50028;5,59446;
0,50128;5,58472;
0,50228;5,57476;
0,50328;5,56457;
0,50428;5,55415;
0,50528;5,54349;
0,50628;5,53261;
0,50728;5,52149;
0,50828;5,51013;
0,50928;5,49853;
0,51028;5,4867;
0,51128;5,47462;
0,51228;5,4623;
0,51328;5,44974;
0,51428;5,43694;
0,51528;5,42389;
0,51628;5,41059;
0,51728;5,39705;
0,51828;5,38326;
0,51928;5,36923;
0,52028;5,35495;
0,52128;5,34042;
0,52228;5,32564;
0,52328;5,31062;
0,52428;5,29535;
0,52528;5,27984;
0,52628;5,26408;
0,52728;5,24807;
0,52828;5,23182;
0,52928;5,21532;
0,53028;5,19858;
0,53128;5,1816;
0,53228;5,16437;
0,53328;5,14691;
0,53428;5,1292;
0,53528;5,11126;
0,53628;5,09308;
0,53728;5,07466;
0,53828;5,05601;
0,53928;5,03713;
0,54028;5,01802;
0,54128;4,99867;
0,54228;4,9791;
0,54328;4,9593;
0,54428;4,93928;
0,54528;4,91903;
0,54628;4,89856;
0,54728;4,87788;
0,54828;4,85697;
0,54928;4,83585;
0,55028;4,81452;
0,55128;4,79298;
0,55228;4,77122;
0,55328;4,74926;
0,55428;4,72709;
0,55528;4,70472;
0,55628;4,68215;
0,55728;4,65938;
0,55828;4,63641;
0,55928;4,61325;
0,56028;4,5899;
0,56128;4,56635;
0,56228;4,54262;
0,56328;4,5187;
0,56428;4,49459;
0,56528;4,47031;
0,56628;4,44584;
0,56728;4,42119;
0,56828;4,39637;
0,56928;4,37138;
0,57028;4,34622;
0,57128;4,32088;
0,57228;4,29538;
0,57328;4,26971;
0,57428;4,24388;
0,57528;4,21789;
0,57628;4,19174;
0,57728;4,16543;
0,57828;4,13897;
0,57928;4,11235;
0,58028;4,08559;
0,58128;4,05867;
0,58228;4,03161;
0,58328;4,0044;
0,58428;3,97705;
0,58528;3,94955;
0,58628;3,92192;
0,58728;3,89415;
0,58828;3,86624;
0,58928;3,8382;
0,59028;3,81003;
0,59128;3,78173;
0,59228;3,75329;
0,59328;3,72474;
0,59428;3,69605;
0,59528;3,66724;
0,59628;3,63831;
0,59728;3,60926;
0,59828;3,58009;
0,59928;3,55081;
0,60028;3,5214;
0,60128;3,49189;
0,60228;3,46226;
0,60328;3,43252;
0,60428;3,40267;
0,60528;3,37272;
0,60628;3,34265;
0,60728;3,31249;
0,60828;3,28221;
0,60928;3,25184;
0,61028;3,22137;
0,61128;3,19079;
0,61228;3,16012;
0,61328;3,12935;
0,61428;3,09849;
0,61528;3,06753;
0,61628;3,03648;
0,61728;3,00534;
0,61828;2,97411;
0,61928;2,94279;
0,62028;2,91138;
0,62128;2,87988;
0,62228;2,8483;
0,62328;2,81663;
0,62428;2,78488;
0,62528;2,75305;
0,62628;2,72114;
0,62728;2,68915;
0,62828;2,65708;
0,62928;2,62493;
0,63028;2,5927;
0,63128;2,5604;
0,63228;2,52803;
0,63328;2,49558;
0,63428;2,46305;
0,63528;2,43046;
0,63628;2,3978;
0,63728;2,36506;
0,63828;2,33226;
0,63928;2,29939;
0,64028;2,26645;
0,64128;2,23344;
0,64228;2,20037;
0,64328;2,16724;
0,64428;2,13404;
0,64528;2,10078;
0,64628;2,06746;
0,64728;2,03407;
0,64828;2,00063;
0,64928;1,96713;
0,65028;1,93357;
0,65128;1,89994;
0,65228;1,86627;
0,65328;1,83253;
0,65428;1,79874;
0,65528;1,7649;
0,65628;1,731;
0,65728;1,69705;
0,65828;1,66304;
0,65928;1,62898;
0,66028;1,59488;
0,66128;1,56072;
0,66228;1,52651;
0,66328;1,49225;
0,66428;1,45794;
0,66528;1,42358;
0,66628;1,38918;
0,66728;1,35472;
0,66828;1,32023;
0,66928;1,28568;
0,67028;1,25109;
0,67128;1,21646;
0,67228;1,18178;
0,67328;1,14706;
0,67428;1,1123;
0,67528;1,07749;
0,67628;1,04264;
0,67728;1,00775;
0,67828;0,972819;
0,67928;0,937848;
0,68028;0,902837;
0,68128;0,867786;
0,68228;0,832697;
0,68328;0,79757;
0,68428;0,762405;
0,68528;0,727203;
0,68628;0,691964;
0,68728;0,656688;
0,68828;0,621376;
0,68928;0,58603;
0,69028;0,550648;
0,69128;0,515232;
0,69228;0,479782;
0,69328;0,444299;
0,69428;0,40879;
0,69528;0,37327;
0,69628;0,33781;
0,69728;0,30267;
0,69828;0,268767;
0,69928;0,238482;
0,70028;0,214756;
0,70128;0,197833;
