time;V(Net-_Q1-C_);
0.30028;1.08877;
0.30128;1.08877;
0.30228;1.08878;
0.30328;1.08878;
0.30428;1.08878;
0.30528;1.08878;
0.30628;1.08879;
0.30728;1.08879;
0.30828;1.08879;
0.30928;1.0888;
0.31028;1.0888;
0.31128;1.0888;
0.31228;1.0888;
0.31328;1.08881;
0.31428;1.08881;
0.31528;1.08881;
0.31628;1.08881;
0.31728;1.08882;
0.31828;1.08882;
0.31928;1.08882;
0.32028;1.08882;
0.32128;1.08883;
0.32228;1.08883;
0.32328;1.08883;
0.32428;1.08883;
0.32528;1.08884;
0.32628;1.08884;
0.32728;1.08884;
0.32828;1.08884;
0.32928;1.08885;
0.33028;1.08885;
0.33128;1.08885;
0.33228;1.08885;
0.33328;1.08886;
0.33428;1.08886;
0.33528;1.08886;
0.33628;1.08886;
0.33728;1.08887;
0.33828;1.08887;
0.33928;1.08887;
0.34028;1.08887;
0.34128;1.08888;
0.34228;1.08888;
0.34328;1.08888;
0.34428;1.08888;
0.34528;1.08889;
0.34628;1.08889;
0.34728;1.08889;
0.34828;1.08889;
0.34928;1.08889;
0.35028;1.0889;
0.35128;1.0889;
0.35228;1.0889;
0.35328;1.0889;
0.35428;1.08891;
0.35528;1.08891;
0.35628;1.08891;
0.35728;1.08891;
0.35828;1.08891;
0.35928;1.08892;
0.36028;1.08892;
0.36128;1.08892;
0.36228;1.08892;
0.36328;1.08893;
0.36428;1.08893;
0.36528;1.08893;
0.36628;1.08893;
0.36728;1.08893;
0.36828;1.08893;
0.36928;1.08894;
0.37028;1.08894;
0.37128;1.08894;
0.37228;1.08894;
0.37328;1.08894;
0.37428;1.08895;
0.37528;1.08895;
0.37628;1.08895;
0.37728;1.08895;
0.37828;1.08895;
0.37928;1.08895;
0.38028;1.08895;
0.38128;1.08896;
0.38228;1.08896;
0.38328;1.08896;
0.38428;1.08896;
0.38528;1.08896;
0.38628;1.08896;
0.38728;1.08896;
0.38828;1.08896;
0.38928;1.08896;
0.39028;1.08897;
0.39128;1.08897;
0.39228;1.08897;
0.39328;1.08897;
0.39428;1.08897;
0.39528;1.08897;
0.39628;1.08897;
0.39728;1.08897;
0.39828;1.08897;
0.39928;1.08897;
0.40028;1.08897;
0.40128;1.08897;
0.40228;1.08897;
0.40328;1.08897;
0.40428;1.08897;
0.40528;1.08897;
0.40628;1.08897;
0.40728;1.08896;
0.40828;1.08896;
0.40928;1.08896;
0.41028;1.08896;
0.41128;1.08896;
0.41228;1.08896;
0.41328;1.08896;
0.41428;1.08895;
0.41528;1.08895;
0.41628;1.08895;
0.41728;1.08895;
0.41828;1.08894;
0.41928;1.08894;
0.42028;1.08894;
0.42128;1.08893;
0.42228;1.08893;
0.42328;1.08893;
0.42428;1.08892;
0.42528;1.08892;
0.42628;1.08891;
0.42728;1.08891;
0.42828;1.0889;
0.42928;1.0889;
0.43028;1.08889;
0.43128;1.08888;
0.43228;1.08888;
0.43328;1.08887;
0.43428;1.08886;
0.43528;1.08885;
0.43628;1.08885;
0.43728;1.08884;
0.43828;1.08883;
0.43928;1.08882;
0.44028;1.08881;
0.44128;1.0888;
0.44228;1.08879;
0.44328;1.08878;
0.44428;1.08876;
0.44528;1.08875;
0.44628;1.08874;
0.44728;1.08872;
0.44828;1.08871;
0.44928;1.08869;
0.45028;1.08868;
0.45128;1.08866;
0.45228;1.08864;
0.45328;1.08863;
0.45428;1.08861;
0.45528;1.08859;
0.45628;1.08857;
0.45728;1.08854;
0.45828;1.08852;
0.45928;1.0885;
0.46028;1.08847;
0.46128;1.08845;
0.46228;1.08842;
0.46328;1.08839;
0.46428;1.08836;
0.46528;1.08833;
0.46628;1.0883;
0.46728;1.08827;
0.46828;1.08824;
0.46928;1.0882;
0.47028;1.08816;
0.47128;1.08812;
0.47228;1.08808;
0.47328;1.08804;
