time;V(Net-_Q1-C_);
0.30028;3.80333;
0.30128;3.80333;
0.30228;3.80334;
0.30328;3.80335;
0.30428;3.80336;
0.30528;3.80337;
0.30628;3.80337;
0.30728;3.80338;
0.30828;3.80339;
0.30928;3.8034;
0.31028;3.80341;
0.31128;3.80341;
0.31228;3.80342;
0.31328;3.80343;
0.31428;3.80343;
0.31528;3.80344;
0.31628;3.80345;
0.31728;3.80346;
0.31828;3.80346;
0.31928;3.80347;
0.32028;3.80348;
0.32128;3.80348;
0.32228;3.80349;
0.32328;3.8035;
0.32428;3.8035;
0.32528;3.80351;
0.32628;3.80351;
0.32728;3.80352;
0.32828;3.80353;
0.32928;3.80353;
0.33028;3.80354;
0.33128;3.80354;
0.33228;3.80355;
0.33328;3.80355;
0.33428;3.80356;
0.33528;3.80356;
0.33628;3.80357;
0.33728;3.80357;
0.33828;3.80357;
0.33928;3.80358;
0.34028;3.80358;
0.34128;3.80358;
0.34228;3.80359;
0.34328;3.80359;
0.34428;3.80359;
0.34528;3.80359;
0.34628;3.8036;
0.34728;3.8036;
0.34828;3.8036;
0.34928;3.8036;
0.35028;3.8036;
0.35128;3.8036;
0.35228;3.8036;
0.35328;3.8036;
0.35428;3.8036;
0.35528;3.8036;
0.35628;3.8036;
0.35728;3.8036;
0.35828;3.8036;
0.35928;3.80359;
0.36028;3.80359;
0.36128;3.80359;
0.36228;3.80358;
0.36328;3.80358;
0.36428;3.80357;
0.36528;3.80357;
0.36628;3.80356;
0.36728;3.80355;
0.36828;3.80354;
0.36928;3.80354;
0.37028;3.80353;
0.37128;3.80352;
0.37228;3.80351;
0.37328;3.8035;
0.37428;3.80348;
0.37528;3.80347;
0.37628;3.80346;
0.37728;3.80344;
0.37828;3.80343;
0.37928;3.80341;
0.38028;3.80339;
0.38128;3.80337;
0.38228;3.80335;
0.38328;3.80333;
0.38428;3.80331;
0.38528;3.80329;
0.38628;3.80326;
0.38728;3.80324;
0.38828;3.80321;
0.38928;3.80318;
0.39028;3.80315;
0.39128;3.80312;
0.39228;3.80309;
0.39328;3.80305;
0.39428;3.80302;
0.39528;3.80298;
0.39628;3.80294;
0.39728;3.8029;
0.39828;3.80285;
0.39928;3.80281;
0.40028;3.80276;
0.40128;3.80271;
0.40228;3.80266;
0.40328;3.8026;
0.40428;3.80254;
0.40528;3.80248;
0.40628;3.80242;
0.40728;3.80236;
0.40828;3.80229;
0.40928;3.80222;
0.41028;3.80214;
0.41128;3.80206;
0.41228;3.80198;
0.41328;3.8019;
0.41428;3.80181;
0.41528;3.80172;
0.41628;3.80162;
0.41728;3.80152;
0.41828;3.80142;
0.41928;3.80131;
0.42028;3.80119;
0.42128;3.80108;
0.42228;3.80095;
0.42328;3.80082;
0.42428;3.80069;
0.42528;3.80055;
0.42628;3.80041;
0.42728;3.80026;
0.42828;3.8001;
0.42928;3.79994;
0.43028;3.79977;
0.43128;3.79959;
0.43228;3.79941;
0.43328;3.79922;
0.43428;3.79902;
0.43528;3.79881;
0.43628;3.7986;
0.43728;3.79837;
0.43828;3.79814;
0.43928;3.7979;
0.44028;3.79765;
0.44128;3.79739;
0.44228;3.79712;
0.44328;3.79684;
0.44428;3.79654;
0.44528;3.79624;
0.44628;3.79592;
0.44728;3.79559;
0.44828;3.79525;
0.44928;3.79489;
0.45028;3.79452;
0.45128;3.79414;
0.45228;3.79374;
0.45328;3.79333;
0.45428;3.7929;
0.45528;3.79245;
0.45628;3.79199;
0.45728;3.79151;
0.45828;3.79101;
0.45928;3.79049;
0.46028;3.78995;
0.46128;3.78939;
0.46228;3.7888;
0.46328;3.7882;
0.46428;3.78757;
0.46528;3.78692;
0.46628;3.78625;
0.46728;3.78555;
0.46828;3.78482;
0.46928;3.78407;
0.47028;3.78328;
0.47128;3.78247;
0.47228;3.78163;
0.47328;3.78075;
0.47428;3.77985;
0.47528;3.7789;
0.47628;3.77793;
0.47728;3.77692;
0.47828;3.77587;
0.47928;3.77478;
0.48028;3.77365;
0.48128;3.77248;
0.48228;3.77127;
0.48328;3.77001;
0.48428;3.76871;
0.48528;3.76736;
0.48628;3.76596;
0.48728;3.76451;
0.48828;3.76301;
0.48928;3.76146;
0.49028;3.75985;
0.49128;3.75818;
0.49228;3.75645;
0.49328;3.75466;
0.49428;3.75281;
0.49528;3.75089;
0.49628;3.74891;
0.49728;3.74685;
0.49828;3.74473;
0.49928;3.74253;
0.50028;3.74026;
0.50128;3.73791;
0.50228;3.73547;
0.50328;3.73296;
0.50428;3.73036;
0.50528;3.72767;
0.50628;3.7249;
0.50728;3.72203;
0.50828;3.71906;
0.50928;3.716;
0.51028;3.71284;
0.51128;3.70958;
0.51228;3.7062;
0.51328;3.70273;
0.51428;3.69914;
0.51528;3.69543;
0.51628;3.69161;
0.51728;3.68767;
0.51828;3.68361;
0.51928;3.67942;
0.52028;3.67511;
0.52128;3.67066;
0.52228;3.66608;
0.52328;3.66136;
0.52428;3.65651;
0.52528;3.65151;
0.52628;3.64636;
0.52728;3.64107;
0.52828;3.63562;
0.52928;3.63002;
0.53028;3.62427;
0.53128;3.61835;
0.53228;3.61227;
0.53328;3.60603;
0.53428;3.59962;
0.53528;3.59304;
0.53628;3.58628;
0.53728;3.57935;
0.53828;3.57224;
0.53928;3.56494;
0.54028;3.55747;
0.54128;3.54981;
0.54228;3.54196;
0.54328;3.53392;
0.54428;3.52569;
0.54528;3.51726;
0.54628;3.50864;
0.54728;3.49982;
0.54828;3.4908;
0.54928;3.48158;
0.55028;3.47215;
0.55128;3.46252;
0.55228;3.45268;
0.55328;3.44264;
0.55428;3.43238;
0.55528;3.42192;
0.55628;3.41124;
0.55728;3.40035;
0.55828;3.38925;
0.55928;3.37794;
0.56028;3.36641;
0.56128;3.35466;
0.56228;3.34271;
0.56328;3.33053;
0.56428;3.31814;
0.56528;3.30553;
0.56628;3.29271;
0.56728;3.27967;
0.56828;3.26641;
0.56928;3.25294;
0.57028;3.23926;
0.57128;3.22536;
0.57228;3.21124;
0.57328;3.19691;
0.57428;3.18237;
0.57528;3.16761;
0.57628;3.15264;
0.57728;3.13747;
0.57828;3.12208;
0.57928;3.10648;
0.58028;3.09067;
0.58128;3.07466;
0.58228;3.05845;
0.58328;3.04202;
0.58428;3.0254;
0.58528;3.00858;
0.58628;2.99155;
0.58728;2.97433;
0.58828;2.9569;
0.58928;2.93929;
0.59028;2.92148;
0.59128;2.90347;
0.59228;2.88528;
0.59328;2.8669;
0.59428;2.84833;
0.59528;2.82957;
0.59628;2.81064;
0.59728;2.79151;
0.59828;2.77221;
0.59928;2.75273;
0.60028;2.73308;
0.60128;2.71325;
0.60228;2.69325;
0.60328;2.67307;
0.60428;2.65273;
0.60528;2.63222;
0.60628;2.61154;
0.60728;2.5907;
0.60828;2.5697;
0.60928;2.54854;
0.61028;2.52723;
0.61128;2.50575;
0.61228;2.48413;
0.61328;2.46235;
0.61428;2.44042;
0.61528;2.41834;
0.61628;2.39611;
0.61728;2.37374;
0.61828;2.35123;
0.61928;2.32858;
0.62028;2.30579;
0.62128;2.28286;
0.62228;2.25979;
0.62328;2.23659;
0.62428;2.21326;
0.62528;2.1898;
0.62628;2.16621;
0.62728;2.14249;
0.62828;2.11864;
0.62928;2.09468;
0.63028;2.07059;
0.63128;2.04638;
0.63228;2.02205;
0.63328;1.9976;
0.63428;1.97304;
0.63528;1.94837;
0.63628;1.92358;
0.63728;1.89868;
0.63828;1.87368;
0.63928;1.84856;
0.64028;1.82334;
0.64128;1.79801;
0.64228;1.77258;
0.64328;1.74705;
0.64428;1.72142;
0.64528;1.69569;
0.64628;1.66986;
0.64728;1.64393;
0.64828;1.61791;
0.64928;1.59179;
0.65028;1.56558;
0.65128;1.53928;
0.65228;1.5129;
0.65328;1.48642;
0.65428;1.45985;
0.65528;1.4332;
0.65628;1.40646;
0.65728;1.37964;
0.65828;1.35274;
0.65928;1.32575;
0.66028;1.29869;
0.66128;1.27154;
0.66228;1.24432;
0.66328;1.21702;
0.66428;1.18964;
0.66528;1.16219;
0.66628;1.13466;
0.66728;1.10707;
0.66828;1.0794;
0.66928;1.05165;
0.67028;1.02384;
0.67128;0.995962;
0.67228;0.968013;
0.67328;0.939998;
0.67428;0.911916;
0.67528;0.883769;
0.67628;0.855557;
0.67728;0.827283;
0.67828;0.798945;
0.67928;0.770546;
0.68028;0.742086;
0.68128;0.713566;
0.68228;0.684986;
0.68328;0.656348;
0.68428;0.627653;
0.68528;0.598901;
0.68628;0.570093;
0.68728;0.541229;
0.68828;0.512311;
0.68928;0.48334;
0.69028;0.454316;
0.69128;0.425242;
0.69228;0.396122;
0.69328;0.366972;
0.69428;0.337831;
0.69528;0.308827;
0.69628;0.280327;
0.69728;0.253265;
0.69828;0.229361;
0.69928;0.210146;
0.70028;0.195609;
0.70128;0.184642;
0.70228;0.176138;
0.70328;0.169323;
0.70428;0.163698;
0.70528;0.158939;
0.70628;0.154834;
0.70728;0.151233;
0.70828;0.148031;
0.70928;0.145157;
0.71028;0.142551;
0.71128;0.140169;
0.71228;0.137977;
0.71328;0.135947;
0.71428;0.13406;
0.71528;0.132295;
0.71628;0.13064;
0.71728;0.129082;
0.71828;0.127609;
0.71928;0.126215;
0.72028;0.12489;
0.72128;0.123629;
0.72228;0.122427;
0.72328;0.121277;
0.72428;0.120175;
0.72528;0.119119;
0.72628;0.118104;
0.72728;0.117127;
0.72828;0.116186;
0.72928;0.115278;
0.73028;0.114401;
0.73128;0.113553;
0.73228;0.112733;
0.73328;0.111938;
0.73428;0.111167;
0.73528;0.110419;
0.73628;0.109692;
0.73728;0.108986;
0.73828;0.108299;
0.73928;0.10763;
0.74028;0.106978;
0.74128;0.106343;
0.74228;0.105723;
0.74328;0.105119;
0.74428;0.104528;
0.74528;0.103952;
0.74628;0.103388;
0.74728;0.102837;
0.74828;0.102298;
0.74928;0.10177;
0.75028;0.101253;
0.75128;0.100747;
0.75228;0.100251;
0.75328;0.0997647;
0.75428;0.0992879;
0.75528;0.0988201;
0.75628;0.0983611;
0.75728;0.0979104;
0.75828;0.097468;
0.75928;0.0970333;
0.76028;0.0966063;
0.76128;0.0961866;
0.76228;0.095774;
0.76328;0.0953682;
0.76428;0.0949692;
0.76528;0.0945765;
0.76628;0.0941902;
0.76728;0.0938099;
0.76828;0.0934354;
0.76928;0.0930667;
0.77028;0.0927036;
0.77128;0.0923458;
0.77228;0.0919932;
0.77328;0.0916458;
0.77428;0.0913033;
0.77528;0.0909656;
0.77628;0.0906326;
0.77728;0.0903042;
0.77828;0.0899803;
0.77928;0.0896606;
0.78028;0.0893452;
0.78128;0.089034;
0.78228;0.0887267;
0.78328;0.0884234;
0.78428;0.0881239;
0.78528;0.0878281;
0.78628;0.087536;
0.78728;0.0872474;
0.78828;0.0869623;
0.78928;0.0866806;
0.79028;0.0864023;
0.79128;0.0861272;
0.79228;0.0858553;
0.79328;0.0855865;
0.79428;0.0853207;
0.79528;0.0850579;
0.79628;0.084798;
0.79728;0.084541;
0.79828;0.0842868;
0.79928;0.0840353;
